Date,Open,High,Low,Close*,Adj Close**,
5/2/22,"4,130.61","4,169.81","4,062.51","4,155.38","4,155.38",
4/29/22,"4,253.75","4,269.68","4,124.28","4,131.93","4,131.93",
4/28/22,"4,222.58","4,308.45","4,188.63","4,287.50","4,287.50",
4/27/22,"4,186.52","4,240.71","4,162.90","4,183.96","4,183.96",
4/26/22,"4,278.14","4,278.14","4,175.04","4,175.20","4,175.20",
4/25/22,"4,255.34","4,299.02","4,200.82","4,296.12","4,296.12",
4/22/22,"4,385.83","4,385.83","4,267.62","4,271.78","4,271.78",
4/21/22,"4,489.17","4,512.94","4,384.47","4,393.66","4,393.66",
4/20/22,"4,472.26","4,488.29","4,448.76","4,459.45","4,459.45",
4/19/22,"4,390.63","4,471.03","4,390.63","4,462.21","4,462.21",
4/18/22,"4,385.63","4,410.31","4,370.30","4,391.69","4,391.69",
4/14/22,"4,449.12","4,460.46","4,390.77","4,392.59","4,392.59",
4/13/22,"4,394.30","4,453.92","4,392.70","4,446.59","4,446.59",
4/12/22,"4,437.59","4,471.00","4,381.34","4,397.45","4,397.45",
4/11/22,"4,462.64","4,464.35","4,408.38","4,412.53","4,412.53",
4/8/22,"4,494.15","4,520.41","4,474.60","4,488.28","4,488.28",
4/7/22,"4,474.65","4,521.16","4,450.30","4,500.21","4,500.21",
4/6/22,"4,494.17","4,503.94","4,450.04","4,481.15","4,481.15",
4/5/22,"4,572.45","4,593.45","4,514.17","4,525.12","4,525.12",
4/4/22,"4,547.97","4,583.50","4,539.21","4,582.64","4,582.64",
4/1/22,"4,540.32","4,548.70","4,507.57","4,545.86","4,545.86",
3/31/22,"4,599.02","4,603.07","4,530.41","4,530.41","4,530.41",
3/30/22,"4,624.20","4,627.77","4,581.32","4,602.45","4,602.45",
3/29/22,"4,602.86","4,637.30","4,589.66","4,631.60","4,631.60",
3/28/22,"4,541.09","4,575.65","4,517.69","4,575.52","4,575.52",
3/25/22,"4,522.91","4,546.03","4,501.07","4,543.06","4,543.06",
3/24/22,"4,469.98","4,520.58","4,465.17","4,520.16","4,520.16",
3/23/22,"4,493.10","4,501.07","4,455.81","4,456.24","4,456.24",
3/22/22,"4,469.10","4,522.00","4,469.10","4,511.61","4,511.61",
3/21/22,"4,462.40","4,481.75","4,424.30","4,461.18","4,461.18",
3/18/22,"4,407.34","4,465.40","4,390.57","4,463.12","4,463.12",
3/17/22,"4,345.11","4,412.67","4,335.65","4,411.67","4,411.67",
3/16/22,"4,288.14","4,358.90","4,251.99","4,357.86","4,357.86",
3/15/22,"4,188.82","4,271.05","4,187.90","4,262.45","4,262.45",
3/14/22,"4,202.75","4,247.57","4,161.72","4,173.11","4,173.11",
3/11/22,"4,279.50","4,291.01","4,200.49","4,204.31","4,204.31",
3/10/22,"4,252.55","4,268.28","4,209.80","4,259.52","4,259.52",
3/9/22,"4,223.10","4,299.40","4,223.10","4,277.88","4,277.88",
3/8/22,"4,202.66","4,276.94","4,157.87","4,170.70","4,170.70",
